Tue Sep 15 10:00:14 MSK 2015	Global	Guardian Weekly Letters, 18 September 2015	[]
Tue Sep 15 01:22:37 MSK 2015	Media	A painful morning for Alan Jones, who told Malcolm Turnbull he'd never be PM	[Alan Jones, Malcolm Turnbull, Australian politics, Australia news, Australian media, Andrew Bolt, Liberal party, Coalition]
Tue Sep 15 00:28:25 MSK 2015	News	Tony Abbott was prime minister for fewer days than Gillard or Rudd – chart	[Tony Abbott, Australian politics, Julia Gillard, Kevin Rudd, Coalition, Labor party, Liberal party, Australia news]
Mon Sep 14 23:54:51 MSK 2015	Australia news	John Hewson on Q&A: Malcolm Turnbull a 'better salesman' but 'may have sold out on climate change'	[Malcolm Turnbull, Australian politics, Liberal party, Q&A, Australian Broadcasting Corporation, Australian media, Syria, Climate change, Islamic State, National broadband network (NBN), Labor party, Bill Shorten]
Mon Sep 14 23:17:05 MSK 2015	UK news	Lord Mayor of York threatens to cancel engagements over 'disgusting' chains	[York, UK news, Labour, Local politics, Politics]
Mon Sep 14 23:13:14 MSK 2015	US news	Oklahoma district attorney dismisses efforts to exonerate Richard Glossip	[Oklahoma, Capital punishment, US news]
Mon Sep 14 23:01:02 MSK 2015	UK news	Resolution Foundation plays down fears over national living wage	[National living wage, Living wage, Business, Economics, Pay, Minimum wage, Money, Retail industry]
Mon Sep 14 23:01:01 MSK 2015	Politics	Ed Davey to advise law firm on renewable energy projects	[Ed Davey, Energy, Energy industry, Business, Environment, Politics, Renewable energy]
Mon Sep 14 23:01:01 MSK 2015	Education	British universities slip down in global rankings	[Higher education, US universities, University of Cambridge, London School of Economics and Political Science, MIT - Massachusetts Institute of Technology, Harvard University, Imperial College London, University of Oxford, Education, US news, World news, UK news]
Mon Sep 14 23:01:01 MSK 2015	Media	Doctor Who needs ‘lots more kissing’, according to Peter Capaldi	[BBC1, BBC, Media, Television industry, Peter Capaldi, Television, Culture, Doctor Who, UK news]
Mon Sep 14 22:45:34 MSK 2015	Books	Kate Beaton: 'We watched print die from up on our hill of youth'	[Books, Comics and graphic novels, Feminism, Canada, Culture]
Mon Sep 14 22:45:24 MSK 2015	US news	Martin O'Malley unveils plan to end US gun violence 'epidemic and sickness'	[US elections 2016, Martin O'Malley, Gun crime, Democrats, US politics, US news, World news]
Mon Sep 14 22:21:13 MSK 2015	US news	Whales to gain 'long-sought protections' as navy limits sonar use, activists say	[California, Hawaii, Whales, US military, Cetaceans, Environment, Marine life, US news, Wildlife, World news]
Mon Sep 14 22:14:57 MSK 2015	Football	Liverpool captain Jordan Henderson flies to US for treatment on heel	[Liverpool, Football, Sport]
Mon Sep 14 21:58:34 MSK 2015	Football	Premier League pledges to improve stadium facilities for disabled fans	[Premier League, Football, Sport, Disability, Society]
Mon Sep 14 21:47:53 MSK 2015	Fashion	Jeremy Scott at New York fashion week: 60s pop culture through an 80s prism	[Fashion, New York fashion week Spring/Summer 2016, Fashion weeks, Life and style]
Mon Sep 14 21:30:01 MSK 2015	Football	Harry Kane ‘not fussed at all’ by lack of goals for Tottenham	[Harry Kane, Tottenham Hotspur, England, Wayne Rooney, Alan Shearer, Football, Sport]
Mon Sep 14 21:30:01 MSK 2015	Football	Leicester start every game as if we are on zero points, says Jamie Vardy	[Leicester City, Premier League, Football, Sport]
Mon Sep 14 21:22:19 MSK 2015	US news	Murder indictment overturned for Pennsylvania man jailed for 34 years	[Pennsylvania, US crime, US news]
Mon Sep 14 21:18:50 MSK 2015	Film	High Rise director Ben Wheatley: societal collapse is imminent	[Toronto film festival 2015, High Rise, Culture, Film, Tom Hiddleston, JG Ballard, Books, Toronto film festival, Ben Wheatley]
Mon Sep 14 21:17:47 MSK 2015	Australia news	NT to introduce controversial Daniel’s Law online sex offenders register	[Northern Territory politics, Northern Territory, Australia news]
Mon Sep 14 21:15:00 MSK 2015	Stage	Photograph 51 review – Nicole Kidman in the ecstasy of scientific discovery	[Theatre, Stage, Culture, Nicole Kidman, West End, Science, Women]
Mon Sep 14 21:14:18 MSK 2015	Australia news	Defence team in Australia's first FGM trial claim it is 'much ado about nothing'	[Australia news, Female genital mutilation (FGM), Health, New South Wales]
Mon Sep 14 21:08:20 MSK 2015	Football	West Ham 2-0 Newcastle United: Premier League – as it happened	[Premier League, West Ham United, Newcastle United, Football, Sport]
